# vlowk  State 3S1   nwave = 2   tz1 = 1, tz2 = -1  nexp = 4
# kvnn = 6   Lambda = 2
#    k         kp       vlowk_11      
0.00126533 0.00126533  -2.66435046e+00  
0.00126533 0.00666235  -2.66407425e+00  
0.00126533 0.01635317  -2.66253185e+00  
0.00126533 0.03030777  -2.65809022e+00  
0.00126533 0.04848006  -2.64838275e+00  
0.00126533 0.07080973  -2.63072519e+00  
0.00126533 0.09722263  -2.60265231e+00  
0.00126533 0.12763103  -2.56260495e+00  
0.00126533 0.16193391  -2.51037140e+00  
0.00126533 0.20001733  -2.44697646e+00  
0.00126533 0.24175478  -2.37412267e+00  
0.00126533 0.28700761  -2.29359761e+00  
0.00126533 0.33562550  -2.20694628e+00  
0.00126533 0.38744694  -2.11542790e+00  
0.00126533 0.44229980  -2.02008969e+00  
0.00126533 0.50000184  -1.92183300e+00  
0.00126533 0.56036140  -1.82144797e+00  
0.00126533 0.62317797  -1.71961839e+00  
0.00126533 0.68824286  -1.61692073e+00  
0.00126533 0.75533996  -1.51382520e+00  
0.00126533 0.82424636  -1.41070009e+00  
0.00126533 0.89473316  -1.30782196e+00  
0.00126533 0.96656622  -1.20539473e+00  
0.00126533 1.03950692  -1.10357453e+00  
0.00126533 1.11331294  -1.00249101e+00  
0.00126533 1.18773913  -9.02261318e-01  
0.00126533 1.26253823  -8.03007702e-01  
0.00126533 1.33746177  -7.04898277e-01  
0.00126533 1.41226087  -6.08226130e-01  
0.00126533 1.48668706  -5.13528337e-01  
0.00126533 1.56049308  -4.21729217e-01  
0.00126533 1.63343378  -3.34263561e-01  
0.00126533 1.70526684  -2.53096631e-01  
0.00126533 1.77575364  -1.80545453e-01  
0.00126533 1.84466004  -1.18869189e-01  
0.00126533 1.91175714  -6.97212783e-02  
0.00126533 1.97682203  -3.36574162e-02  
0.00126533 2.03963860  -9.90057284e-03  
0.00126533 2.09999816   3.52526517e-03  
0.00126533 2.15770020   9.32755472e-03  
0.00126533 2.21255306   1.03204088e-02  
0.00126533 2.26437450   8.87952909e-03  
0.00126533 2.31299239   6.65114372e-03  
0.00126533 2.35824522   4.54528957e-03  
0.00126533 2.39998267   2.91696553e-03  
0.00126533 2.43806609   1.79877226e-03  
0.00126533 2.47236897   1.08844821e-03  
0.00126533 2.50277737   6.59547610e-04  
0.00126533 2.52919027   4.08234271e-04  
0.00126533 2.55151994   2.63069620e-04  
0.00126533 2.56969223   1.79638048e-04  
0.00126533 2.58364683   1.32020584e-04  
0.00126533 2.59333765   1.05761044e-04  
0.00126533 2.59873467   9.32044816e-05  
0.00666235 0.00126533  -2.66407425e+00  
0.00666235 0.00666235  -2.66385850e+00  
0.00666235 0.01635317  -2.66232162e+00  
0.00666235 0.03030777  -2.65788848e+00  
0.00666235 0.04848006  -2.64819311e+00  
0.00666235 0.07080973  -2.63055119e+00  
0.00666235 0.09722263  -2.60249671e+00  
0.00666235 0.12763103  -2.56246922e+00  
0.00666235 0.16193391  -2.51025555e+00  
0.00666235 0.20001733  -2.44687936e+00  
0.00666235 0.24175478  -2.37404255e+00  
0.00666235 0.28700761  -2.29353248e+00  
0.00666235 0.33562550  -2.20689416e+00  
0.00666235 0.38744694  -2.11538691e+00  
0.00666235 0.44229980  -2.02005806e+00  
0.00666235 0.50000184  -1.92180911e+00  
0.00666235 0.56036140  -1.82143036e+00  
0.00666235 0.62317797  -1.71960582e+00  
0.00666235 0.68824286  -1.61691215e+00  
0.00666235 0.75533996  -1.51381973e+00  
0.00666235 0.82424636  -1.41069703e+00  
0.00666235 0.89473316  -1.30782076e+00  
0.00666235 0.96656622  -1.20539497e+00  
0.00666235 1.03950692  -1.10357591e+00  
0.00666235 1.11331294  -1.00249328e+00  
0.00666235 1.18773913  -9.02264275e-01  
0.00666235 1.26253823  -8.03011173e-01  
0.00666235 1.33746177  -7.04902110e-01  
0.00666235 1.41226087  -6.08230185e-01  
0.00666235 1.48668706  -5.13532482e-01  
0.00666235 1.56049308  -4.21733313e-01  
0.00666235 1.63343378  -3.34267476e-01  
0.00666235 1.70526684  -2.53100243e-01  
0.00666235 1.77575364  -1.80548667e-01  
0.00666235 1.84466004  -1.18871937e-01  
0.00666235 1.91175714  -6.97235262e-02  
0.00666235 1.97682203  -3.36591690e-02  
0.00666235 2.03963860  -9.90187096e-03  
0.00666235 2.09999816   3.52435392e-03  
0.00666235 2.15770020   9.32694886e-03  
0.00666235 2.21255306   1.03200269e-02  
0.00666235 2.26437450   8.87930021e-03  
0.00666235 2.31299239   6.65101262e-03  
0.00666235 2.35824522   4.54521716e-03  
0.00666235 2.39998267   2.91692654e-03  
0.00666235 2.43806609   1.79875174e-03  
0.00666235 2.47236897   1.08843721e-03  
0.00666235 2.50277737   6.59541494e-04  
0.00666235 2.52919027   4.08230813e-04  
0.00666235 2.55151994   2.63067743e-04  
0.00666235 2.56969223   1.79636639e-04  
0.00666235 2.58364683   1.32019672e-04  
0.00666235 2.59333765   1.05759490e-04  
0.00666235 2.59873467   9.32039835e-05  
0.01635317 0.00126533  -2.66253185e+00  
0.01635317 0.00666235  -2.66232162e+00  
0.01635317 0.01635317  -2.66111950e+00  
0.01635317 0.03030777  -2.65673582e+00  
